POS,TEAM,REC,PTS
1,Georgia,14-1,1525
2,Alabama,13-2,1464
3,Michigan,12-2,1361
4,Cincinnati,13-1,1349
5,Baylor,12-2,1259
6,Ohio State,11-2,1247
7,Oklahoma State,12-2,1177
8,Notre Dame,11-2,1039
9,Michigan State,11-2,1026
10,Oklahoma,11-2,966
11,Ole Miss,10-3,926
12,Utah,10-4,851
13,Pittsburgh,11-3,741
14,Clemson,10-3,538
15,Wake Forest,11-3,533
16,Louisiana,13-1,517
17,Houston,12-2,513
18,Kentucky,10-3,446
19,BYU,10-3,435
20,NC State,9-3,382
21,Arkansas,9-4,371
22,Oregon,10-4,364
23,Iowa,10-4,171
24,Utah State,11-3,163
25,San Diego State,12-2,137
